discente;faltas_unidade;id_turma;media_final;nota;numero_total_faltas;reposicao;unidade;reprovou;desempenho_exatas;historico_reprovacao;primeira_vez_pagando;n1_std_turma;prof_c1_tx_reprovacao;professor_tx_reprovao
929f40bb8ed94f20e7f9aef42166157e;0.0;57586011;7.0;3.5999999;0.0;f;1.0;False;5.0;0;0;-0.6326275286636239;-0.22995793603806514;0.5208333333333334
0aa36a4a5e6d5244792a017531f692d4;0.0;57586011;10.0;10.0;0.0;f;1.0;False;9.0;0;0;1.6066617800253145;0.8625327722851539;0.5208333333333334
c58363ef7573e16bca843681d875fcff;0.0;57586011;9.7;9.19999981;0.0;f;1.0;False;8.0;0;0;1.3267505543339086;0.8625327722851539;0.5208333333333334
4293a7b91a3677dd3e05972cbf7dd4c6;0.0;57586011;9.4;8.60000038;0.0;f;1.0;False;10.0;0;0;1.1168173843612308;0.5379979035639413;0.5208333333333334
5b4b0f73dfddef54779bdcc0ef1c52cc;0.0;57586011;1.3;2.79999995;0.0;f;1.0;True;3.0;0;0;-0.9125386703816818;-1.0;0.5208333333333334
b14832606583fbce5892a998a8d37cf7;0.0;57586011;0.5;1.5;0.0;f;1.0;True;5.0;0;0;-1.3673942866075557;-1.0;0.5208333333333334
f4d22eca27f92ce6eff8afae6ce24e6a;0.0;57586011;5.1;2.4000001;0.0;t;1.0;False;5.0;0;0;-1.052494197504592;0.8625327722851539;0.5208333333333334
0de9cdef3cf313b0bdb9821d8b6e3b03;0.0;57586011;10.0;10.0;0.0;f;1.0;False;8.0;0;0;1.6066617800253145;0.8625327722851539;0.5208333333333334
30940b6a3c21e890adfb1a6d5e55a134;0.0;57586011;9.6;9.5;0.0;f;1.0;False;9.0;0;0;1.4317173055174985;0.5379979035639413;0.5208333333333334
d8243b81383dd60e040409fbc4e945ba;0.0;57586011;5.0;3.20000005;0.0;f;1.0;False;4.0;0;0;-0.7725830557865342;-0.24706469126111985;0.5208333333333334
bfac440c4cfeca2bdc3c2316d74022fa;0.0;57586011;5.4;2.0;0.0;t;1.0;False;5.0;0;1;-1.1924498120997398;-1.0;0.5208333333333334
176d0eba2a8ae3dfca5ff66ea2edcc4e;0.0;57586011;1.0;3.0999999;0.0;f;1.0;True;4.0;0;0;-0.8075720031714397;-0.23100104821802936;0.5208333333333334
8c30c4b9e0af918e4f53a2d9a42c4c79;0.0;57586011;5.1;4.9000001;0.0;f;1.0;False;3.0;0;0;-0.1777718249655128;-0.23100104821802936;0.5208333333333334
5ea15fe0e6a58fc0127b71c77a5c207d;0.0;57586011;1.5;4.4000001;0.0;f;1.0;True;5.0;0;0;-0.35271629947332866;-0.2174774530560776;0.5208333333333334
3772d6c7587d416be81f996ecf1df8a3;0.0;57586011;1.3;1.0;0.0;f;1.0;True;3.0;0;0;-1.5423387611153716;-0.22995793603806514;0.5208333333333334
f8aed036971f7ee3338c9f48b8f2ac2c;0.0;57586011;2.0;2.4000001;0.0;f;1.0;True;4.0;0;0;-1.052494197504592;-1.0;0.5208333333333334
b4331d26d9d96234e3a3fdf34987618e;0.0;57586011;7.7;6.599999900000001;0.0;f;1.0;False;6.0;0;0;0.4170393183832719;0.5379979035639413;0.5208333333333334
56dc402f510dbab2fe60c2bfd2e79ae8;0.0;57586011;2.2;3.5;0.0;f;1.0;True;5.0;0;0;-0.6676163885762921;-1.0;0.5208333333333334
05913f3e3eada0da2bea7c94b9cbaa6c;0.0;57586011;6.2;5.9000001;0.0;f;1.0;False;6.0;0;0;0.17211712405011897;0.8625327722851539;0.5208333333333334
c7bacb17db4f3e04f3b0deee3accb328;0.0;57586011;4.1;2.29999995;0.0;t;1.0;True;5.31615925058548;1;1;-1.0874831448894977;-0.2174774530560776;0.5208333333333334
0961a609f1b6b9dbf6733c664fb06a40;0.0;57586011;5.5;5.4000001;0.0;f;1.0;False;3.0;0;0;-0.002827350457696915;-0.23100104821802936;0.5208333333333334
b5379c6ef832b3db7078e3a88fc9f3d3;0.0;57586011;7.0;3.70000005;0.0;f;1.0;False;5.0;0;0;-0.5976385812787184;0.5379979035639413;0.5208333333333334
f2b5f785e163a9526774fb619cae83a2;0.0;57586011;2.1;6.4000001;0.0;f;1.0;True;9.0;0;0;0.34706159855793484;-1.0;0.5208333333333334
5aea4d8646f1c528f5f457e9570e7e47;0.0;57586012;0.2;0.5;38.0;f;1.0;True;9.0;0;0;-0.842959382086753;0.5379979035639413;0.65625
8e1f00436a8723dc09a2fdfee27e361c;0.0;57586012;8.5;8.39999962;2.0;f;1.0;False;10.0;0;0;1.9068738738862798;0.5379979035639413;0.65625
2ad0a9190fa7c9bd7ec1092d6001e09f;0.0;57586012;0.7;1.0;30.0;f;1.0;True;5.0;0;0;-0.6689192942232404;-1.0;0.65625
26f8624a065db34cd9580a44f8737a80;0.0;57586012;7.1;4.30000019;0.0;f;1.0;False;9.0;0;0;0.4797453518111766;0.5379979035639413;0.65625
92cfe611984822714f1448ed6f1752fb;0.0;57586012;4.6;2.0;6.0;f;1.0;True;7.0;0;0;-0.3208391184962151;0.5379979035639413;0.65625
8c04f49ac41a487cdc3d35369c9d15fa;0.0;57586012;0.6;0.5;18.0;f;1.0;True;7.0;0;0;-0.842959382086753;0.5379979035639413;0.65625
0be79f7cc502134dce2a5f3159d3c7d9;0.0;57586012;5.0;3.0;8.0;f;1.0;False;6.0;0;0;0.027241057230810207;0.5379979035639413;0.65625
e55361c8cf736dccf4908b9074c18987;0.0;57586012;0.0;0.0;38.0;f;1.0;True;5.0;0;0;-1.0169994699502656;-1.0;0.65625
baa86f63b0d72a20a802051b66d65895;0.0;57586012;5.6;4.0;2.0;f;1.0;False;7.0;0;0;0.3753212329578355;0.5379979035639413;0.65625
c2e2aced1a74547e85925e8ade92cbdb;0.0;57586012;7.3;4.80000019;6.0;f;1.0;False;9.0;0;0;0.6537854396746893;0.5379979035639413;0.65625
95f0434a0cbc5a96fc54630c4a725596;0.0;57586012;4.6;3.9000001;4.0;f;1.0;True;5.0;0;0;0.3405132501931506;-0.23100104821802936;0.65625
b38b76b776f721732051ff63b652d4ce;0.0;57586012;5.8;2.9000001;0.0;t;1.0;False;4.0;0;0;-0.007566925533874681;-1.0;0.65625
239095e24669528e8bb12babde98c7aa;0.0;57586012;6.0;5.0999999;6.0;f;1.0;False;8.0;0;0;0.7582093914495458;0.5379979035639413;0.65625
e2c24bf55fa4ac75ce986c6fa1c6b58c;0.0;57586012;0.0;0.0;26.0;f;1.0;True;3.0;0;0;-1.0169994699502656;-0.23100104821802936;0.65625
